# IRREGULAR CROSS-SECTION FOR REACH 17
#       XB       ELEVB
5.0000E-01  3.0000E+00
9      6.0000E-01
15.6   3.0000E-01
21.15  2.0000E-01
26.4   3.0000E-01
36.15  4.0000E-01
43.05  1.5240E+00
48     3.0480E+00
